color_name,hex,R,G,B
Black,#000000,0,0,0
White,#FFFFFF,255,255,255
Red,#FF0000,255,0,0
Lime,#00FF00,0,255,0
Blue,#0000FF,0,0,255
Yellow,#FFFF00,255,255,0
Cyan / Aqua,#00FFFF,0,255,255
Magenta / Fuchsia,#FF00FF,255,0,255
Silver,#C0C0C0,192,192,192
Gray,#808080,128,128,128
Maroon,#800000,128,0,0
Olive,#808000,128,128,0
Green,#008000,0,128,0
Purple,#800080,128,0,128
Teal,#008080,0,128,128
Navy,#000080,0,0,128
Orange,#FFA500,255,165,0
Pink,#FFC0CB,255,192,203
Brown,#A52A2A,165,42,42
Gold,#FFD700,255,215,0
SkyBlue,#87CEEB,135,206,235
LightGreen,#90EE90,144,238,144
DarkRed,#8B0000,139,0,0
DarkBlue,#00008B,0,0,139
DarkGreen,#006400,0,100,0
